t_s	speed_m_s	speed_km_h	acel_m_s2	Alt_api_c_f	N_intervalo_200m	Pendiente_200m	R2_200m	Grade_200m	Driver	micro_ciclo	Cluster
50	6,690128205	24,08446154	1,030070513	1488,139163	10	-0,028698093	0,999752681	-1,643828437	8	23	1
51	7,741428904	27,86914406	1,064883644	1487,906743	10	-0,028698093	0,999752681	-1,643828437	8	23	1
52	8,754351981	31,51566713	0,918514569	1487,671869	10	-0,028698093	0,999752681	-1,643828437	8	23	1
53	9,503678322	34,21324196	0,528520785	1487,434414	10	-0,028698093	0,999752681	-1,643828437	8	23	1
54	9,765948718	35,15741538	-0,046990482	1487,193031	11	-0,029960386	0,956194664	-1,716090313	8	23	1
55	9,49195338	34,17103217	-0,301592463	1486,947684	11	-0,029960386	0,956194664	-1,716090313	8	23	1
56	9,224438228	33,20797762	-0,349982323	1486,698396	11	-0,029960386	0,956194664	-1,716090313	8	23	1
57	8,790703963	31,64653427	-0,454363248	1486,445259	11	-0,029960386	0,956194664	-1,716090313	8	23	1
58	8,355741259	30,08066853	-0,41202972	1486,188437	11	-0,029960386	0,956194664	-1,716090313	8	23	1
59	7,994736597	28,78105175	-0,277211733	1485,928167	11	-0,029960386	0,956194664	-1,716090313	8	23	1
60	7,801055944	28,0838014	-0,149419192	1485,66477	11	-0,029960386	0,956194664	-1,716090313	8	23	1
61	7,679762238	27,64714406	-0,086120047	1485,398648	11	-0,029960386	0,956194664	-1,716090313	8	23	1
62	7,62897669	27,46431608	-0,00114763	1485,140278	11	-0,029960386	0,956194664	-1,716090313	8	23	1
63	7,651543124	27,54555524	-0,009075563	1484,890077	11	-0,029960386	0,956194664	-1,716090313	8	23	1
64	7,589074592	27,32066853	-0,08749087	1484,648392	11	-0,029960386	0,956194664	-1,716090313	8	23	1
65	7,469452214	26,89002797	-0,180852758	1484,415504	11	-0,029960386	0,956194664	-1,716090313	8	23	1
66	7,22213986	25,9997035	-0,295503302	1484,191636	11	-0,029960386	0,956194664	-1,716090313	8	23	1
67	6,886298368	24,79067413	-0,383302253	1483,976954	11	-0,029960386	0,956194664	-1,716090313	8	23	1
68	6,46988345	23,29158042	-0,426143162	1483,771573	11	-0,029960386	0,956194664	-1,716090313	8	23	1
69	6,051027972	21,7837007	-0,407209207	1483,575567	11	-0,029960386	0,956194664	-1,716090313	8	23	1
70	5,653694639	20,3533007	-0,416858003	1483,388971	11	-0,029960386	0,956194664	-1,716090313	8	23	1
71	5,243298368	18,87587413	-0,335011072	1483,211788	11	-0,029960386	0,956194664	-1,716090313	8	23	1
72	5,010342657	18,03723357	-0,146767871	1483,043996	11	-0,029960386	0,956194664	-1,716090313	8	23	1
73	4,924344988	17,72764196	-0,065330225	1482,885556	11	-0,029960386	0,956194664	-1,716090313	8	23	1
74	4,863282051	17,50781538	-0,02850136	1482,736417	11	-0,029960386	0,956194664	-1,716090313	8	23	1
75	4,850776224	17,46279441	-0,047050505	1482,596525	11	-0,029960386	0,956194664	-1,716090313	8	23	1
76	4,763808858	17,14971189	-0,074947941	1482,46583	11	-0,029960386	0,956194664	-1,716090313	8	23	1
77	4,693165501	16,8953958	-0,125312743	1482,344294	11	-0,029960386	0,956194664	-1,716090313	8	23	1
78	4,501771562	16,20637762	-0,229509713	1482,231898	11	-0,029960386	0,956194664	-1,716090313	8	23	1
79	4,258230769	15,32963077	-0,242453186	1482,128653	11	-0,029960386	0,956194664	-1,716090313	8	23	1
80	4,038447552	14,53841119	-0,19422669	1482,034606	11	-0,029960386	0,956194664	-1,716090313	8	23	1
81	3,896011655	14,02564196	-0,04484965	1481,949854	11	-0,029960386	0,956194664	-1,716090313	8	23	1
82	3,934738928	14,16506014	0,051370435	1481,874544	11	-0,029960386	0,956194664	-1,716090313	8	23	1
83	3,966757576	14,28032727	0,019737179	1481,808893	11	-0,029960386	0,956194664	-1,716090313	8	23	1
84	3,987969697	14,35669091	0,059077312	1481,753191	11	-0,029960386	0,956194664	-1,716090313	8	23	1
85	4,085011655	14,70604196	0,091377428	1481,707813	11	-0,029960386	0,956194664	-1,716090313	8	23	1
86	4,171843823	15,01863776	0,131383061	1481,673231	11	-0,029960386	0,956194664	-1,716090313	8	23	1
87	4,341221445	15,6283972	0,146377622	1481,65002	11	-0,029960386	0,956194664	-1,716090313	8	23	1
88	4,461051282	16,05978462	0,131028361	1481,634452	12	-0,08622571	0,63673611	-4,928179935	8	23	1
89	4,64213986	16,7117035	0,270295066	1481,625942	12	-0,08622571	0,63673611	-4,928179935	8	23	1
90	5,006850816	18,02466294	0,444204545	1481,623893	12	-0,08622571	0,63673611	-4,928179935	8	23	1
91	5,464076923	19,67067692	0,384217949	1481,627692	12	-0,08622571	0,63673611	-4,928179935	8	23	1
92	5,70609324	20,54193566	0,084778749	1481,636718	12	-0,08622571	0,63673611	-4,928179935	8	23	1
93	5,625463869	20,25166993	-0,205893939	1481,65035	12	-0,08622571	0,63673611	-4,928179935	8	23	1
94	5,280601399	19,01016503	-0,546760684	1481,667965	12	-0,08622571	0,63673611	-4,928179935	8	23	1
95	4,530869464	16,31113007	-0,915615773	1481,68895	12	-0,08622571	0,63673611	-4,928179935	8	23	1
96	3,5104662	12,63767832	-1,067306527	1481,712702	12	-0,08622571	0,63673611	-4,928179935	8	23	1
97	2,451771562	8,826377622	-1,048444444	1481,732299	12	-0,08622571	0,63673611	-4,928179935	8	23	1
98	1,455496503	5,239787413	-0,89367871	1481,749404	12	-0,08622571	0,63673611	-4,928179935	8	23	1
99	0,672445221	2,420802797	-0,766016706	1481,765439	12	-0,08622571	0,63673611	-4,928179935	8	23	1
100	0	0	-0,327005439	1481,781599	12	-0,08622571	0,63673611	-4,928179935	8	23	1
101	0	0	0,056037102	1481,79888	12	-0,08622571	0,63673611	-4,928179935	8	23	1
102	0	0	0	1481,818091	12	-0,08622571	0,63673611	-4,928179935	8	23	1
103	0	0	0	1481,839873	12	-0,08622571	0,63673611	-4,928179935	8	23	1
104	0	0	0	1481,863988	12	-0,08622571	0,63673611	-4,928179935	8	23	1
105	0	0	0	1481,890569	12	-0,08622571	0,63673611	-4,928179935	8	23	1
106	0	0	0	1481,919617	12	-0,08622571	0,63673611	-4,928179935	8	23	1
107	0	0	0	1481,951015	12	-0,08622571	0,63673611	-4,928179935	8	23	1
108	0	0	0	1481,984546	12	-0,08622571	0,63673611	-4,928179935	8	23	1
109	0	0	0	1482,019912	12	-0,08622571	0,63673611	-4,928179935	8	23	1
110	0	0	0	1482,056748	12	-0,08622571	0,63673611	-4,928179935	8	23	1
111	0	0	0	1482,094643	12	-0,08622571	0,63673611	-4,928179935	8	23	1
112	0	0	0	1482,133156	12	-0,08622571	0,63673611	-4,928179935	8	23	1
113	0	0	0	1482,171832	12	-0,08622571	0,63673611	-4,928179935	8	23	1
114	0	0	0	1482,210955	12	-0,08622571	0,63673611	-4,928179935	8	23	1
115	0	0	0	1482,25033	12	-0,08622571	0,63673611	-4,928179935	8	23	1
116	0	0	0	1482,289821	12	-0,08622571	0,63673611	-4,928179935	8	23	1
117	0	0	0	1482,329377	12	-0,08622571	0,63673611	-4,928179935	8	23	1
118	0	0	0	1482,369043	12	-0,08622571	0,63673611	-4,928179935	8	23	1
119	0	0	0	1482,408982	12	-0,08622571	0,63673611	-4,928179935	8	23	1
120	0	0	0	1482,449492	12	-0,08622571	0,63673611	-4,928179935	8	23	1
121	0	0	0	1482,491021	12	-0,08622571	0,63673611	-4,928179935	8	23	1
122	0	0	0	1482,528289	12	-0,08622571	0,63673611	-4,928179935	8	23	1
123	0	0	0	1482,560227	12	-0,08622571	0,63673611	-4,928179935	8	23	1
124	0	0	0	1482,585763	12	-0,08622571	0,63673611	-4,928179935	8	23	1
125	0	0	0	1482,603827	12	-0,08622571	0,63673611	-4,928179935	8	23	1
126	0	0	0	1482,613359	12	-0,08622571	0,63673611	-4,928179935	8	23	1
127	0	0	0	1482,613315	12	-0,08622571	0,63673611	-4,928179935	8	23	1
128	0	0	0	1482,602677	12	-0,08622571	0,63673611	-4,928179935	8	23	1
129	0	0	0	1482,580458	12	-0,08622571	0,63673611	-4,928179935	8	23	1
130	0	0	0	1482,545707	12	-0,08622571	0,63673611	-4,928179935	8	23	1
131	0	0	0	1482,497518	12	-0,08622571	0,63673611	-4,928179935	8	23	1
132	0	0	0	1482,435034	12	-0,08622571	0,63673611	-4,928179935	8	23	1
133	0	0	0	1482,357454	12	-0,08622571	0,63673611	-4,928179935	8	23	1
134	0	0	0	1482,264038	12	-0,08622571	0,63673611	-4,928179935	8	23	1
135	0	0	0	1482,154111	12	-0,08622571	0,63673611	-4,928179935	8	23	1
136	0	0	0	1482,027073	12	-0,08622571	0,63673611	-4,928179935	8	23	1
137	0	0	0	1481,882396	12	-0,08622571	0,63673611	-4,928179935	8	23	1
138	0	0	0	1481,719638	12	-0,08622571	0,63673611	-4,928179935	8	23	1
139	0	0	0	1481,538437	12	-0,08622571	0,63673611	-4,928179935	8	23	1
140	0	0	0	1481,338526	12	-0,08622571	0,63673611	-4,928179935	8	23	1
141	0	0	0	1481,119727	12	-0,08622571	0,63673611	-4,928179935	8	23	1
142	0	0	0	1480,881962	12	-0,08622571	0,63673611	-4,928179935	8	23	1
143	0	0	0	1480,625254	12	-0,08622571	0,63673611	-4,928179935	8	23	1
144	0	0	0	1480,349729	12	-0,08622571	0,63673611	-4,928179935	8	23	1
145	0	0	0	1480,055619	12	-0,08622571	0,63673611	-4,928179935	8	23	1
146	0	0	0	1479,743268	12	-0,08622571	0,63673611	-4,928179935	8	23	1
147	0	0	0	1479,413131	12	-0,08622571	0,63673611	-4,928179935	8	23	1
148	0	0	-0,051583528	1479,065779	12	-0,08622571	0,63673611	-4,928179935	8	23	1
149	0	0	0,408415501	1741,158783	0	-0,164218089	0,831822236	-9,325766804	8	41	1
150	0,767328671	2,762383217	0,698463092	1741,19653	0	-0,164218089	0,831822236	-9,325766804	8	41	1
151	1,237643357	4,455516084	0,367076729	1741,191611	0	-0,164218089	0,831822236	-9,325766804	8	41	1
152	1,519589744	5,470523077	0,187762238	1741,138402	0	-0,164218089	0,831822236	-9,325766804	8	41	1
153	1,613167832	5,807404196	-0,000606061	1741,030929	0	-0,164218089	0,831822236	-9,325766804	8	41	1
154	1,518377622	5,466159441	-0,188974359	1740,907858	0	-0,164218089	0,831822236	-9,325766804	8	41	1
155	1,235219114	4,446788811	-0,36869289	1740,776828	0	-0,164218089	0,831822236	-9,325766804	8	41	1
156	0,763692308	2,749292308	-0,696947941	1740,646753	0	-0,164218089	0,831822236	-9,325766804	8	41	1
157	0	0	-0,406193279	1740,527914	0	-0,164218089	0,831822236	-9,325766804	8	41	1
158	0	0	0,063641026	1740,387056	0	-0,164218089	0,831822236	-9,325766804	8	41	1
159	0	0	-0,05267735	1740,223162	0	-0,164218089	0,831822236	-9,325766804	8	41	1
160	0	0	0,521425796	1510,479015	36	-0,048932067	0,57803813	-2,801366535	8	53	1
161	0,984055944	3,542601399	0,887891803	1510,54847	36	-0,048932067	0,57803813	-2,801366535	8	53	1
162	1,615337995	5,815216783	0,609303807	1510,6072	36	-0,048932067	0,57803813	-2,801366535	8	53	1
163	2,268002331	8,164808392	0,679767871	1510,665261	36	-0,048932067	0,57803813	-2,801366535	8	53	1
164	2,959925408	10,65573147	0,677240676	1510,721706	36	-0,048932067	0,57803813	-2,801366535	8	53	1
165	3,583540793	12,90074685	0,541471639	1510,775694	36	-0,048932067	0,57803813	-2,801366535	8	53	1
166	4,012757576	14,44592727	0,283758159	1510,826506	36	-0,048932067	0,57803813	-2,801366535	8	53	1
167	4,193	15,0948	0,19345338	1510,873569	36	-0,048932067	0,57803813	-2,801366535	8	53	1
168	4,430501166	15,9498042	0,212380925	1510,916471	36	-0,048932067	0,57803813	-2,801366535	8	53	1
169	4,604048951	16,57457622	0,162316434	1510,95498	36	-0,048932067	0,57803813	-2,801366535	8	53	1
170	4,752578089	17,10928112	0,113832362	1510,989068	36	-0,048932067	0,57803813	-2,801366535	8	53	1
171	4,821818182	17,35854545	0,013754856	1511,018927	36	-0,048932067	0,57803813	-2,801366535	8	53	1
172	4,806666667	17,304	0,007123737	1511,044991	36	-0,048932067	0,57803813	-2,801366535	8	53	1
173	4,871699301	17,53811748	0,134839355	1511,067956	36	-0,048932067	0,57803813	-2,801366535	8	53	1
174	5,066142191	18,23811189	0,211996115	1511,088804	36	-0,048932067	0,57803813	-2,801366535	8	53	1
175	5,279550117	19,00638042	0,230430653	1511,108819	36	-0,048932067	0,57803813	-2,801366535	8	53	1
176	5,525519814	19,89187133	0,268573232	1511,123716	36	-0,048932067	0,57803813	-2,801366535	8	53	1
177	5,781552448	20,81358881	0,184729798	1511,133584	36	-0,048932067	0,57803813	-2,801366535	8	53	1
