micro_ciclo;Driver;Speed_mean;Speed_max;Acel_pos_mean;Acel_pos_max;Acel_neg_mean;Acel_neg_max;Duration;Distance;time_ralenti;time_mov;Pend160_pos_max;Pend160_neg_mean;Pend160_neg_max;time_Pend160_pos;time_Pend160_neg;Pend200_pos_mean;Pend200_pos_max;Pend200_neg_mean;Pend200_neg_max;time_Pend200_pos;time_Pend200_neg;Social_stratum;Driver_age;PC1;PC2;PC3;PC4;Cluster
897;20;1.479336698;3.755513287;0.135236467;0.339788462;-0.087500444;-0.612640637;22;9.451317793;54.54545455;50;0;-0.341249074;-0.341249074;0;104.5454545;0;0;-0.154720122;-0.233918607;0;104.5454545;1;36;-3.151611251;-2.122547386;-1.405594551;0.117311361;1
898;20;2.050076512;5.875124476;0.288924922;0.551078671;-0.157447182;-0.6697838;16;9.680916861;56.25;50;0;-0.341249074;-0.341249074;0;106.25;0;0;-0.233918607;-0.233918607;0;106.25;1;36;-2.738509738;-2.483356102;-1.165911975;0.782545766;1
899;20;1.310635474;5.557988811;0.199861912;0.468424825;-0.063795789;-0.45062296;32;12.01415851;68.75;34.375;0;-0.341249074;-0.341249074;0;103.125;0;0;-0.233918607;-0.233918607;0;103.125;1;36;-3.483079017;-2.365934675;-1.534288963;0.450919049;1
900;20;1.044116084;2.205524476;0.182449301;0.341746503;-0.192282003;-0.35933042;7;2.320257964;57.14285714;57.14285714;0;-0.341249074;-0.341249074;0;114.2857143;0;0;-0.233918607;-0.233918607;0;114.2857143;1;36;-3.152229225;-2.509938086;-1.483645012;0.641596948;1
901;20;2.578987972;5.254925874;0.320958081;0.768066045;-0.319054468;-0.66644697;9;7.163855478;44.44444444;66.66666667;0;-0.341249074;-0.341249074;0;111.1111111;0;0;-0.233918607;-0.233918607;0;111.1111111;1;36;-2.001406472;-2.612884731;-0.864221596;1.107746858;1
902;20;0.757027273;4.255158042;0.326434829;0.651117133;-0.045647637;-0.337817599;31;6.729131313;77.41935484;25.80645161;0;-0.341249074;-0.341249074;0;103.2258065;0;0;-0.233918607;-0.233918607;0;103.2258065;1;36;-3.608685325;-2.39931919;-1.234065068;0.591545311;1
903;20;25.88012882;53.01776224;0.411895785;1.259494172;-0.355105723;-1.140512238;295;2127.921703;1.694915254;98.6440678;0.162784039;-0.046272623;-0.341249074;66.44067797;33.89830508;0.067382292;0.148015372;-0.071389006;-0.233918607;70.16949153;30.16949153;1;36;2.289039946;0.389606456;-1.954181291;0.705670445;3
904;20;4.481297716;13.3156951;0.321820901;0.815140249;-0.212771119;-0.92596115;29;37.34414763;51.72413793;51.72413793;0.030202492;0;0;103.4482759;0;0.00614477;0.00614477;0;0;103.4482759;0;1;36;-1.755670058;1.440952594;0.387333854;-0.170250218;3
905;20;0.687581437;4.143952448;0.247564646;0.514476884;-0.044106088;-0.483183178;32;6.302829837;81.25;21.875;0.000211715;0;0;103.125;0;0.00614477;0.00614477;0;0;103.125;0;1;36;-3.52914437;1.590825722;-0.075060448;-0.616349622;3
906;20;0.490418758;2.221090909;0.240665954;0.360498252;-0.054122835;-0.355104895;16;2.315866356;81.25;25;0.000211715;0;0;106.25;0;0.00614477;0.00614477;0;0;106.25;0;1;36;-3.725604453;1.653946078;-0.139471829;-0.599072712;3
907;20;0.927678788;7.660044755;0.334508714;0.7990169;-0.043892195;-0.598123349;59;15.46131313;79.66101695;22.03389831;0.000675993;0;0;101.6949153;0;0.005818541;0.00614477;0;0;101.6949153;0;1;36;-3.070266008;1.507325208;0.164974074;-0.519178399;3
908;21;17.1567371;27.34297343;0.666544074;1.379534771;-0.773406153;-1.360335859;34;166.8016107;2.941176471;100;0.005134925;0;0;102.9411765;0;0.002230016;0.002230016;0;0;102.9411765;0;2;38;1.857069363;1.024947002;1.830177202;1.044703474;2
909;21;16.50994021;34.10141538;0.849609893;1.636626845;-0.458167656;-0.861749417;31;146.7550241;12.90322581;90.32258065;0.005134925;0;0;103.2258065;0;0.002230016;0.002230016;-0.000972158;-0.000972158;25.80645161;77.41935484;2;38;1.043419626;-0.820035627;1.882414072;0.328773908;2
910;21;34.0296847;61.48273007;0.402929833;1.713910839;-0.414203622;-1.618043901;293;2779.090917;3.754266212;96.58703072;0.033563731;-0.011476993;-0.036590214;53.24232082;47.09897611;0.015415212;0.034376889;-0.008055538;-0.036843151;51.19453925;49.14675768;2;38;3.20947839;-0.12052129;-0.351100837;-0.952436046;2
911;21;25.89970094;60.0568028;0.774581066;1.606587413;-0.775195411;-1.768689394;91;661.8812463;5.494505495;95.6043956;0.228840219;-0.058791703;-0.100332078;52.74725275;48.35164835;0.130455616;0.197843585;-0.06418815;-0.086777497;54.94505495;46.15384615;2;36;3.422319392;0.734763664;0.460266015;2.38878533;2
